Date,Index for food purchased from stores,All-items index
2018-12-01,2.5,2
2019-01-01,2.5,1.4
2019-02-01,3.4,1.5
2019-03-01,4,1.9
2019-04-01,3,2
2019-05-01,4,2.4
2019-06-01,3.9,2
2019-07-01,4.2,2
2019-08-01,3.9,1.9
2019-09-01,4.1,1.9
2019-10-01,4.1,1.9
2019-11-01,3.9,2.2
2019-12-01,3.2,2.2
2020-01-01,3.8,2.4
2020-02-01,2.4,2.2
2020-03-01,2.4,0.9
2020-04-01,4,-0.2
2020-05-01,3.5,-0.4
2020-06-01,3,0.7
2020-07-01,2.4,0.1
2020-08-01,1.6,0.1
2020-09-01,1.3,0.5
2020-10-01,2.3,0.7
2020-11-01,1.6,1
2020-12-01,0.5,0.7
2021-01-01,0.1,1
2021-02-01,1.3,1.1
2021-03-01,1.3,2.2
2021-04-01,0.1,3.4
2021-05-01,0.9,3.6
2021-06-01,0.7,3.1
2021-07-01,1,3.7
2021-08-01,2.6,4.1
2021-09-01,4.2,4.4
2021-10-01,3.9,4.7
2021-11-01,4.7,4.7
2021-12-01,5.7,4.8
2022-01-01,6.5,5.1
2022-02-01,7.4,5.7
2022-03-01,8.7,6.7
2022-04-01,9.7,6.8
2022-05-01,9.7,7.7
2022-06-01,9.4,8.1
2022-07-01,9.9,7.6
2022-08-01,10.8,7
2022-09-01,11.4,6.9
2022-10-01,11,6.9
2022-11-01,11.4,6.8
2022-12-01,11,6.3
2023-01-01,11.4,5.9
2023-02-01,10.6,5.2
2023-03-01,9.7,4.3
2023-04-01,9.1,4.4
2023-05-01,9,3.4
2023-06-01,9.1,2.8
2023-07-01,8.5,3.3
2023-08-01,6.9,4
2023-09-01,5.8,3.8
2023-10-01,5.4,3.1
2023-11-01,4.7,3.1
2023-12-01,4.7,3.4
